CORE ORGÂNICO  CO1 - Paraguaçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Hora,Prof (m),Latitude,Longitude,Diametro int. (cm),Corer area (cm),SAR (g/cm² y),SR (cm y-1),,,,,,,,,,,,,,,,,,,,,,,,
10/20/2014,8:35,9.78,"12°49'04,6"" W","38°44'32,3"" S",6.9,37.39280656,0.194±0.01,0.38±0.02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Depth,  CaCO3,         %C,     d13C,%N,d15N,C/N,Age,Year,DryWeight (g),%Water,LayerVolume,DryBulkDensity(g/cm³),CO_Flux,TN_Flux,Alcanos,LMW/HMW,CPI,S1,S2,Tmax,S3CO,S3'CO,S3,S3',PC,RC,TOC,HI,OI,MINC,HI/OI
CO1.01,0,26.3,2.32,-24.85,0.22,5.07,10.5,2.8,2012,20.377,75.18566181,37.39280656,0.544944386,0.480422971,0.455573507,NaN,NaN,NaN,0.18,2.14,427,1.38,0.6,4.55,9.8,0.39,1.96,2.35,91,194,0.45,0.469072165
CO1.02,1,NaN,NaN,-25.27,NaN,NaN,NaN,4.2,2010.6,10.0359,66.72402972,37.39280656,0.268391194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.03,2,21.4,2.15,-25.32,0.21,5.45,10.3,5.6,2009.2,10.0642,64.98559248,37.39280656,0.269148024,0.219893936,0.214780123,388.8,0.290199691,1.238925122,0.25,3.22,426,2.15,0.9,7.09,17.3,0.59,3.11,3.7,87,192,0.71,0.453125
CO1.04,3,NaN,NaN,-25.45,NaN,NaN,NaN,7.8,2007,16.4332,67.99833724,74.78561312,0.219737451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.05,5,23.6,2.48,-25.36,0.22,5.22,11.3,8.9,2005.9,7.2952,64.26934482,37.39280656,0.195096348,0.183858798,0.163100547,NaN,NaN,NaN,0.18,2.14,425,1.42,0.6,4.58,10.3,0.39,1.99,2.38,90,192,0.44,0.46875
CO1.06,6,NaN,NaN,-25.52,NaN,NaN,NaN,10.3,2004.5,10.4458,71.20228837,37.39280656,0.279353195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.07,7,20.3,2.49,-25.29,0.21,5.22,11.9,12.5,2002.3,16.1895,66.0763214,37.39280656,0.432957606,0.409664487,0.34550017,4123.546797,0.321157426,0.983566571,0.15,1.81,416,1.3,0.6,4.1,9.7,0.34,1.84,2.18,83,188,0.4,0.441489362
CO1.08,8,NaN,NaN,-25.44,NaN,NaN,NaN,14.7,2000.1,16.0701,65.83359463,37.39280656,0.429764478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.09,9,NaN,NaN,-25.58,NaN,NaN,NaN,16.8,1998,14.8766,66.44086725,37.39280656,0.397846574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.10,10,20.9,2.17,-25.3,0.19,4.86,11.4,19,1995.8,15.8815,65.71162869,37.39280656,0.424720727,0.350224711,0.306648365,NaN,NaN,NaN,0.16,1.87,424,1.42,0.5,4,9.5,0.35,1.88,2.23,84,179,0.4,0.469273743
CO1.11,11,NaN,NaN,-25.71,NaN,NaN,NaN,20.9,1993.9,13.5839,62.51273651,37.39280656,0.363275754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.12,12,NaN,NaN,-25.62,NaN,NaN,NaN,22.7,1992.1,13.5266,62.10671474,37.39280656,0.361743374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.13,13,18.9,2.53,-25.37,0.19,4.85,13.3,25.8,1989,22.1355,63.81879154,56.08920984,0.394648098,0.379414681,0.284935927,NaN,NaN,NaN,0.15,1.76,419,1.33,0.6,3.93,9.4,0.34,1.86,2.2,80,179,0.38,0.446927374
CO1.14,14.5,NaN,NaN,-25.48,NaN,NaN,NaN,28.1,1986.7,17.2598,65.03965552,56.08920984,0.307720505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.15,16,NaN,NaN,-25.41,NaN,NaN,NaN,31.1,1983.7,21.2187,56.86184926,56.08920984,0.378302709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.16,17.5,17.4,2.32,-25.52,0.21,5.63,11.1,33.1,1981.7,14.7669,62.12760174,56.08920984,0.263275237,0.232103449,0.210093639,NaN,NaN,NaN,0.14,1.69,414,1.4,0.6,3.96,10.5,0.33,1.83,2.16,78,183,0.43,0.426229508
CO1.17,19,NaN,NaN,-25.41,NaN,NaN,NaN,36.4,1978.4,24.1176,63.37504459,56.08920984,0.429986446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.18,20.5,NaN,NaN,-25.48,NaN,NaN,NaN,40.6,1974.2,30.5106,64.19372889,56.08920984,0.543965588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.19,22,16.6,2.44,-25.42,0.2,5.26,12.2,44,1970.8,24.1935,63.60335581,56.08920984,0.431339647,0.399938121,0.327818132,NaN,NaN,NaN,0.18,1.7,411,0.82,1,4.05,12.7,0.32,1.84,2.16,79,188,0.47,0.420212766
CO1.20,23.5,NaN,NaN,-25.61,NaN,NaN,NaN,46.8,1968,20.4486,64.87113945,56.08920984,0.364572795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
