CORE ORGÂNICO  CO2 - Ilha das Fontes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Hora,Prof (m),Latitude,Longitude,Diametro int. (cm),Corer area (cm),SAR (g/cm² y),SR (cm y-1),,,,,,,,,,,,,,,,,,,,,,,,
10/20/2014,10:30,7.73,"12°43'46.6"" W","38°39'49.3"" S",6.9,37.39280656,1.9±0.09,2.1±0.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sample,Depth,  CaCO3,         %C,     d13C,%N,d15N,C/N,Age,Year,Dry Weight (g),% Water,Layer Volume,Dry Bulk density (g/cm³),CO_Flux,TN_Flux,Alcanos,LMW/HMW,CPI,S1,S2,Tmax,S3CO,S3'CO,S3,S3',PC,RC,TOC,HI,OI,MINC,HI/OI
CO2.01,0,23.8,1.43,-23.14,0.21,5.49,6.8,0.3,2014.5,20.6257,63.85502466,74.78561312,0.275797699,0.82822049,1.216267853,5452.860276,0.267260566,2.328982643,0.16,1.63,419,0.96,0.5,3.2,10.3,0.29,1.32,1.61,101,199,0.51,0.507537688
CO2.03,2,21.2,1.27,-23.92,0.19,5.34,6.7,0.6,2014.2,30.1796,66.22833592,37.39280656,0.807096412,2.152526131,3.220314684,9318.906072,0.371097994,1.76528293,0.15,1.59,416,0.97,0.4,3.11,7.5,0.28,1.29,1.57,101,198,0.46,0.51010101
CO2.05,5,22.9,1.61,-23.23,0.19,5.37,8.5,1.6,2013.2,14.1009,63.39654503,37.39280656,0.377101943,1.274981669,1.504636753,6675.8675,0.297292011,2.310710146,0.14,1.37,405,0.61,0.7,3.07,11.1,0.25,1.17,1.42,96,216,0.5,0.444444444
CO2.07,7,21.2,1.54,-23.23,0.21,5.59,7.3,2.2,2012.6,14.7797,59.8627819,37.39280656,0.395255167,1.27825521,1.743075286,5247.604727,0.378054439,1.856609576,0.15,1.62,418,0.77,0.7,3.23,11.1,0.28,1.33,1.61,101,201,0.49,0.502487562
CO2.10,10,18.9,1.65,-23.1,0.2,5.74,8.2,2.8,2012,17.4143,64.60707533,37.39280656,0.465712569,1.613694052,1.95599279,4822.093767,0.361668084,1.651854779,0.14,1.71,423,0.81,0.7,3.31,9.4,0.29,1.39,1.68,102,197,0.42,0.517766497
CO2.13,13,20.7,1.63,-23.02,0.2,5.75,8.1,3.5,2011.3,18.0193,64.59992728,37.39280656,0.481892151,1.649516833,2.023947034,3935.09271,0.286250803,2.228580291,0.13,1.48,416,0.74,0.7,3.09,8.3,0.26,1.3,1.56,95,198,0.43,0.47979798
CO2.16,16,17.6,1.46,-21.74,0.2,5.73,7.3,4.2,2010.6,15.3785,63.22056077,37.39280656,0.411268942,1.260950576,1.727329556,4517.195716,0.192413361,2.338508046,0.18,1.41,414,0.83,0.4,3.68,12.3,0.28,1.26,1.54,92,239,0.36,0.384937238
CO2.19,19,19,1.44,-23.22,0.19,5.54,7.6,4.9,2009.9,16.5035,62.15087027,37.39280656,0.441354943,1.334657348,1.761006223,3600.809536,0.421538777,1.697548866,0.13,1.45,414,0.99,0.4,2.92,7.6,0.26,1.28,1.54,94,190,0.41,0.494736842
CO2.22,24,16.5,1.52,-23.27,0.18,5.73,8.4,6.1,2008.7,26.5318,61.9139369,74.78561312,0.354771445,1.132430452,1.341036062,3450.314472,0.611770085,2.337634564,0.11,1.44,413,1,0.4,2.94,7.9,0.26,1.28,1.54,94,191,0.44,0.492146597
CO2.25,30,16.3,1.41,-23.37,0.19,5.83,7.4,7.3,2007.5,28.8044,62.00110884,74.78561312,0.385159642,1.1404577,1.536786972,NaN,NaN,NaN,0.13,1.45,417,0.73,0.7,3.06,8.9,0.26,1.29,1.55,94,197,0.43,0.47715736
CO2.28,36,16.5,1.44,-23.15,0.19,5.6,7.6,8.6,2006.2,29.5263,58.6829761,74.78561312,0.394812568,1.193913206,1.575302146,3638.786371,0.323400793,3.531101762,0.12,1.26,417,0.67,0.7,2.68,9.2,0.23,1.22,1.45,87,185,0.4,0.47027027
CO2.31,42,16,1.36,-23.35,0.18,5.44,7.6,9.7,2005.1,27.3701,58.89161265,74.78561312,0.36598082,1.045241222,1.3834075,4753.800275,0.380323242,1.33324385,0.13,1.34,416,0.97,0.4,2.77,7.2,0.25,1.28,1.53,88,181,0.4,0.486187845
CO2.35,50,14.7,1.49,-23.47,0.18,5.65,8.3,11.5,2003.3,28.6196,59.97002182,74.78561312,0.382688579,1.197432564,1.446562829,8356.918443,0.811031513,5.099640847,0.12,1.22,418,0.95,0.4,2.7,8.4,0.23,1.25,1.48,82,182,0.4,0.450549451
CO2.39,58,15.9,1.38,-22.22,0.18,5.91,7.7,13.5,2001.3,42.7201,59.86024279,74.78561312,0.571234202,1.655436717,2.159265284,4963.003286,0.75180065,0.795743638,0.11,1.22,413,0.61,0.7,2.61,8,0.22,1.22,1.44,85,181,0.42,0.46961326
CO2.43,66,18.2,1.29,-23.36,0.18,5.86,7.2,15.7,1999.1,38.8369,58.13517378,74.78561312,0.519309776,1.406810183,1.962990953,6325.536202,0.655340001,0.740385367,0.1,1.11,416,0.91,0.4,2.55,8,0.22,1.24,1.46,76,175,0.39,0.434285714
CO2.47,74,15.6,1.32,-23.38,0.18,5.82,7.3,17.9,1996.9,36.808,56.97395405,74.78561312,0.492180226,1.364323586,1.860441254,6390.630233,0.942475401,4.386931918,0.09,0.99,413,0.89,0.4,2.44,8.2,0.2,1.13,1.33,74,183,0.44,0.404371585
CO2.51,82,16.3,1.13,-22.87,0.17,6.19,6.6,20.4,1994.4,44.9202,58.81504319,74.78561312,0.600652962,1.425349479,2.144331074,622.7190071,0.905793942,0.191178075,0.09,1.02,414,0.62,0.6,2.49,9.3,0.2,1.1,1.3,78,192,0.43,0.40625
CO2.55,90,14.6,1.1,-22.56,0.17,5.85,6.5,22.9,1991.9,46.9698,58.04483775,74.78561312,0.628059302,1.450816988,2.242171708,2616.334283,0.910294241,2.269546878,0.08,0.84,413,0.79,0.4,2.33,9.2,0.18,0.98,1.16,72,201,0.5,0.358208955
CO2.60,100,13.7,1.03,-22.14,0.16,5.85,6.4,26.2,1988.6,50.728,56.11771662,74.78561312,0.678312283,1.467189468,2.279129271,NaN,NaN,NaN,0.06,0.69,408,0.52,0.6,2.12,10.2,0.16,0.91,1.07,64,198,0.6,0.323232323
CO2.61,102,15.8,0.93,-22.34,0.16,5.54,5.8,26.7497397,1988.05026,37.4906,54.05908201,74.78561312,0.50130765,0.97905384,1.684393704,1906.716283,1.263444614,2.226949816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
