CORE ORGÂNICO  CO4 - Caboto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Hora,Prof (m),Latitude,Longitude,Diametro int. (cm),Corer area (cm),SAR (g/cm² y),SR (cm y-1),,,,,,,,,,,,,,,,,,,,,,,,
10/24/2014,11:56,6.6,"12°45'19,5"" W","38°30'27,8"" S",6.9,37.39280656,1±0.12,1.5±0.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sample,Depth,  CaCO3,         %C,     d13C,%N,d15N,C/N,Age,Year,Dry Weight (g),% Water,Layer Volume,Dry Bulk density (g/cm³),CO_Flux,TN_Flux,Alcanos,LMW/HMW,CPI,S1,S2,Tmax,S3CO,S3'CO,S3,S3',PC,RC,TOC,HI,OI,MINC,HI/OI
CO4.01,0,25.55066079,1.436872247,-23.18,0.24,5.2,5.986967695,0.191322895,2014.608677,7.1541,70.70733496,37.39280656,0.191322895,0.412359837,0.688762422,6259.75616,0.680178885,1.503241373,0.18,1.83,420,0.7,0.6,3.29,13,0.3,1.25,1.55,118,212,0.82,0.556603774
CO4.03,2,23.51937607,1.346058981,-23.13,0.23,5.35,5.852430353,0.917473256,2013.882527,14.9412,70.45798802,37.39280656,0.399574179,0.806775618,1.378530918,NaN,NaN,NaN,0.18,1.78,413,0.68,0.7,3.29,15.2,0.3,1.21,1.51,118,218,0.82,0.541284404
CO4.05,4,25,1.3725,-22.96,0.23,5.17,5.967391304,2.227735965,2012.572264,30.6721,70.51298571,37.39280656,0.820267394,1.688725497,2.829922509,4792.082354,0.483678446,1.863351491,0.16,1.7,415,0.67,0.7,3.23,11.9,0.29,1.17,1.46,116,221,0.86,0.524886878
CO4.07,6,26.3264071,1.296655235,-23.24,0.23,5.42,5.637631457,3.41218303,2011.387817,22.427,57.01085568,37.39280656,0.599767765,1.166538018,2.069198789,6032.864312,0.645054622,1.734478854,0.23,1.56,420,0.55,0.5,4.21,19.4,0.3,1.13,1.43,109,294,0.73,0.370748299
CO4.10,9,23.59738483,1.237722366,-23.39,0.21,5.31,5.893916028,5.136378295,2009.663622,27.2677,63.45457281,37.39280656,0.729223145,1.353863695,2.297052907,5082.364836,0.541534896,1.766444441,0.17,1.45,416,0.54,0.4,3.19,16.1,0.25,1.09,1.34,108,238,0.85,0.453781513
CO4.13,12,23.1984054,1.267226311,-23.34,0.22,5.27,5.760119595,7.304297942,2007.495702,33.8193,63.24927546,56.08920984,0.602955543,1.146121693,1.989753292,4510.666188,0.565161036,1.79541044,0.16,1.49,414,0.58,0.6,3.24,16.3,0.26,1.1,1.36,110,238,0.81,0.462184874
CO4.16,16.5,25.28034625,1.188042495,-23.4,0.22,4.87,5.400193157,9.272114931,2005.527885,32.0689,58.55460498,56.08920984,0.571748115,1.018891586,1.88676878,6615.402161,0.65081657,3.550717482,0.14,1.31,416,0.54,0.6,3.32,17.3,0.25,1.03,1.28,102,259,0.85,0.393822394
CO4.19,21,25.01452081,1.11728364,-23.41,0.22,5.08,5.078561999,11.32068542,2003.479315,28.278,55.88090788,56.08920984,0.50416114,0.84493649,1.663731762,5087.338909,0.85131637,2.849941476,0.14,1.32,413,0.55,0.6,3.17,15.6,0.24,1.06,1.3,102,244,0.8,0.418032787
CO4.22,26,21.61411858,1.113079516,-22.76,0.22,4.81,5.059452346,14.68257001,2000.11743,53.5329,53.15103356,74.78561312,0.71581816,1.195143797,2.362199928,NaN,NaN,NaN,0.13,1.43,417,0.61,0.6,2.77,10.8,0.24,1.16,1.4,102,198,0.69,0.515151515
CO4.25,32,21.05356196,1.128934064,-23.34,0.21,4.95,5.375876495,18.46735679,1996.332643,49.46,55.76612686,74.78561312,0.661357151,1.119942924,2.083275026,3950.582257,0.562676264,2.713363513,0.13,1.27,409,0.53,0.6,2.67,12.3,0.22,1.08,1.3,98,205,0.68,0.47804878
CO4.28,38,20.6042885,1.095660819,-22.97,0.21,4.76,5.21743247,22.49359643,1992.306404,54.3221,54.41517976,74.78561312,0.726370992,1.193784354,2.288068625,NaN,NaN,NaN,0.1,1.16,413,0.54,0.6,2.44,11.5,0.21,1.03,1.24,94,197,0.62,0.47715736
CO4.31,44,22.87837309,1.164536566,-23.67,0.2,5.19,5.822682831,26.54302769,1988.256972,52.4427,53.21023747,74.78561312,0.70124049,1.224930288,2.10372147,4714.48884,0.192424168,0.996883349,0.1,1.05,409,0.52,0.6,2.32,9.4,0.19,0.93,1.12,94,207,0.73,0.45410628
CO4.35,52,19.66984885,1.084457041,-22.72,0.2,4.72,5.422285203,32.11550056,1982.684499,45.9641,55.59683815,74.78561312,0.614611529,0.9997797,1.843834587,2014.563788,0.414765333,0.671487176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO4.39,60,18.02429795,0.991905995,-22.66,0.2,5.26,4.959529974,37.10482918,1977.695171,43.7187,57.65366058,74.78561312,0.584587037,0.86978308,1.753761111,NaN,NaN,NaN,0.08,0.9,412,0.51,0.7,2.33,7.1,0.18,0.9,1.08,83,216,0.42,0.384259259
CO4.43,68,20.26465028,1.076427221,-22.61,0.19,4.76,5.665406427,42.06895777,1972.731042,47.6138,57.41434102,74.78561312,0.636670584,1.027994321,1.814511164,456.8726678,0.50450252,4.326148017,0.09,0.98,402,0.56,0.7,2.48,7.7,0.2,0.95,1.15,85,216,0.38,0.393518519
