CORE ORGÂNICO  CO5 - Mataripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Hora,Prof (m),Latitude,Longitude,Diametro int. (cm),Corer area (cm),SAR (g/cm² y),SR (cm y-1),,,,,,,,,,,,,,,,,,,,,,,,
10/24/2014,9:36,8.9,"12°45'34,5"" W","38°34'40,2"" S",6.9,37.39280656,0.24±0.02,0.43±.04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sample,Depth,  CaCO3,         %C,     d13C,%N,d15N,C/N,Age,Year,Dry Weight (g),% Water,Layer Volume,Dry Bulk density (g/cm³),CO_Flux,TN_Flux,Alcanos,LMW/HMW,CPI,S1,S2,Tmax,S3CO,S3'CO,S3,S3',PC,RC,TOC,HI,OI,MINC,HI/OI
CO5.01,0,36.85015291,1.098807339,-20.84,0.22,5.87,4.994578816,1.154990419,2013.64501,10.3652,70.75946965,37.39280656,0.277197701,0.130972353,0.262229025,NaN,NaN,NaN,0.15,1.72,416,0.83,0.6,3.04,18.3,0.29,1.05,1.34,128,227,1.62,0.563876652
CO5.03,2,35.08977361,1.148911007,-20.78,0.2,5.27,5.744555035,3.330642837,2011.469357,9.8562,66.42328042,37.39280656,0.263585457,0.13021958,0.226683493,NaN,NaN,NaN,0.16,1.64,416,0.87,0.5,2.99,15.3,0.28,1.04,1.32,124,227,1.61,0.546255507
CO5.05,4,34.66869185,1.025701538,-21.09,0.21,6.23,4.884293038,6.230677005,2008.569323,13.8387,66.39496438,37.39280656,0.370089899,0.163228765,0.334191179,NaN,NaN,NaN,0.14,1.44,406,0.71,0.6,3.02,21.5,0.26,0.96,1.22,118,248,1.73,0.475806452
CO5.07,6,32.82584478,1.09493873,-19.98,0.21,6.29,5.213993953,10.02066621,2004.779334,20.7219,57.5322419,37.39280656,0.554168085,0.260915443,0.500413781,2416.926811,1.019956461,2.785665568,0.19,1.45,412,0.64,0.4,4.27,27.7,0.29,0.93,1.22,119,350,1.64,0.34
CO5.10,9,32.91888692,1.100130255,-21.2,0.23,6.04,4.78317502,14.98239372,1999.817606,10.7164,27.26735947,37.39280656,0.286589881,0.135573066,0.283437392,3553.528955,0.780053686,1.312287067,0.15,1.49,407,0.84,0.6,2.91,16.2,0.26,1,1.26,118,231,1.59,0.510822511
CO5.13,12,32.00705606,1.101485692,-21.08,0.22,6.56,5.006753145,19.44186329,1995.358137,10.6473,63.71812001,37.39280656,0.284741932,0.134864841,0.269365868,3481.089313,1.36381929,2.34438904,0.13,1.42,417,0.84,0.5,2.83,15.5,0.25,0.99,1.24,115,228,1.67,0.504385965
CO5.16,16.5,30.59756547,1.110438952,-21.35,0.21,6,5.287804535,24.3997019,1990.400298,15.3054,24.36318972,37.39280656,0.409314021,0.19544284,0.369610561,1957.509426,1.234526539,2.868746052,0.13,1.37,409,0.73,0.5,2.82,17.3,0.24,1,1.24,110,227,1.46,0.484581498
